pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10449,2739.33,2738.28,7,2739.02,Buy,0.34999999999990905,0.32999999999992724,-5.01
10450,2739.33,2738.28,7,2739.05,Buy,0.01999999999998181,0.34999999999990905,-5.02
10451,2739.46,2737.33,7,2739.56,Buy,0.2300000000000182,0.07999999999992724,-5.09
10452,2739.53,2737.33,8,2739.61,Buy,0.07000000000016371,0.2300000000000182,-5.39
10453,2739.63,2737.33,9,2739.73,Buy,0.04999999999972715,0.07000000000016371,-5.05
10454,2739.56,2737.78,8,2739.47,Buy,0.3000000000001819,0.04999999999972715,-5.33
10455,2739.56,2737.91,8,2739.51,Buy,0.15000000000009095,0.3000000000001819,-5.29
10456,2739.56,2738.32,7,2738.88,Buy,0.6299999999996544,0.15000000000009095,-5.28
10457,2737.68,2736.67,7,2737.66,Buy,0.19000000000005457,0.04999999999972715,-6.25
10458,2738.1,2736.9,7,2738.19,Buy,0.5399999999999636,0.19000000000005457,-5.16
10459,2738.3,2737.15,7,2738.38,Buy,0.3200000000001637,0.13000000000010914,-5.13
10460,2737.75,2736.59,7,2737.85,Buy,0.13000000000010914,0.13999999999987267,-5.12
10461,2737.73,2736.59,7,2737.5,Buy,0.34999999999990905,0.13000000000010914,-6.98
10462,2737.73,2736.74,7,2737.6,Buy,0.11000000000012733,0.34999999999990905,-5.78
10463,2735.83,2734.35,7,2735.9,Buy,0.09999999999990905,0.27999999999974534,-5.38
10464,2735.98,2734.35,7,2736.07,Buy,0.1799999999998363,0.09999999999990905,-5.45
10465,2735.98,2734.35,7,2735.94,Buy,0.1299999999996544,0.1799999999998363,-5.42
10466,2735.98,2734.35,8,2736.05,Buy,0.05999999999994543,0.1299999999996544,-5.53
10467,2736.2,2734.4,8,2736.3,Buy,0.21000000000003638,0.05999999999994543,-5.78
10468,2736.16,2734.83,7,2736.19,Buy,0.09999999999990905,0.21000000000003638,-5.67
10469,2736.47,2734.87,7,2736.55,Buy,0.3799999999996544,0.09999999999990905,-5.14
10470,2729.88,2726.12,7,2729.94,Buy,0.8900000000003274,0.13999999999987267,5.02
10471,2730.44,2727.89,7,2730.29,Buy,0.11999999999989086,0.49000000000023647,5.03
10472,2730.44,2728.65,7,2730.43,Buy,0.21000000000003638,0.11999999999989086,5.11
10473,2730.47,2728.65,8,2730.57,Buy,0.11000000000012733,0.21000000000003638,5.43
10474,2730.44,2728.79,7,2730.2,Buy,0.34999999999990905,0.11000000000012733,5.34
10475,2730.68,2729.29,7,2730.77,Buy,0.5799999999999272,0.34999999999990905,5.15
10476,2732.5,2730.1,7,2732.6,Buy,0.6700000000000728,0.01999999999998181,5.43
10477,2733.14,2730.33,7,2733.15,Buy,0.6399999999998727,0.6700000000000728,5.08
10478,2734.04,2730.33,8,2734.14,Buy,0.819999999999709,0.6399999999998727,5.59
10479,2733.87,2730.33,8,2733.91,Buy,0.2300000000000182,0.819999999999709,6.06
10480,2733.87,2730.58,8,2733.84,Buy,0.01999999999998181,0.2300000000000182,5.03
10481,2733.87,2730.6,7,2733.55,Buy,0.2899999999999636,0.01999999999998181,5.09
10482,2734.14,2731.09,7,2734.24,Buy,0.6700000000000728,0.2899999999999636,5.73
10483,2735.64,2733.85,7,2735.73,Buy,0.31999999999970896,0.44000000000005457,5.01
10484,2736.06,2734.41,7,2736.16,Buy,0.21000000000003638,0.36999999999989086,5.13
10485,2736.37,2734.41,8,2736.46,Buy,0.30999999999994543,0.21000000000003638,5.53
10486,2736.37,2734.54,7,2735.98,Buy,0.49000000000023647,0.30999999999994543,5.05
10487,2737.49,2733.5,7,2737.58,Buy,0.7699999999999818,0.11999999999989086,-5.01
10488,2740.14,2737.65,7,2740.2,Buy,0.36999999999989086,0.13999999999987267,-5.01
10489,2740.52,2737.65,8,2740.62,Buy,0.42000000000007276,0.36999999999989086,-5.01
10490,2740.69,2737.65,7,2740.79,Buy,0,0.42000000000007276,-5.22
10491,2740.84,2737.65,8,2740.88,Buy,0.15000000000009095,0,-5.27
10492,2740.84,2737.8,7,2740.5,Buy,0.3400000000001455,0.15000000000009095,-5.13
10493,2740.84,2738.61,7,2740.52,Buy,0.01999999999998181,0.3400000000001455,-5.33
10494,2740.84,2738.87,7,2740.66,Buy,0.17000000000007276,0.01999999999998181,-5.11
10495,2740.84,2739.73,7,2740.69,Buy,0.03999999999996362,0.17000000000007276,-5.08
10496,2740.84,2739.77,7,2740.88,Buy,0.1799999999998363,0.03999999999996362,-5.07
10497,2740.89,2740.1,7,2740.99,Buy,0.09999999999990905,0.1799999999998363,-5.04
10498,2741.03,2740.4,7,2741.13,Buy,0.14000000000032742,0.09999999999990905,-5.02
10499,2741.03,2740.4,7,2740.97,Buy,0.09000000000014552,0.14000000000032742,-5.06
10500,2741.26,2740.4,7,2741.36,Buy,0.3400000000001455,0.09000000000014552,-5.05
10501,2741.21,2740.4,7,2741.08,Buy,0.2800000000002001,0.3400000000001455,-5.14
10502,2741.21,2740.42,7,2741.11,Buy,0.03999999999996362,0.2800000000002001,-5.16
10503,2738.45,2735.88,7,2738.5,Buy,0.3999999999996362,0.4600000000000364,5.04
10504,2739.57,2735.95,7,2739.61,Buy,1.1700000000000728,0.3999999999996362,5.29
10505,2739.69,2737.48,7,2738.62,Buy,0.13000000000010914,0.30999999999994543,5.33
10506,2739.69,2737.62,7,2738.95,Buy,0.38000000000010914,0.13000000000010914,5.07
10507,2739.69,2738.05,7,2739.7,Buy,0.8200000000001637,0.38000000000010914,5.06
10508,2740.28,2738.14,7,2740.34,Buy,0.680000000000291,0.8200000000001637,5.6
10509,2740.28,2738.14,7,2739.85,Buy,0.2600000000002183,0.7399999999997817,5.05
10510,2740.28,2738.14,7,2740.29,Buy,0.5199999999999818,0.07999999999992724,5.31
10511,2740.49,2738.44,7,2740.59,Buy,0.29999999999972715,0.5199999999999818,-5.04
10512,2740.85,2738.52,7,2740.95,Buy,0.29000000000041837,0.29999999999972715,-5.41
10513,2741.18,2738.85,7,2741.23,Buy,0.32999999999992724,0.29000000000041837,-5.1
10514,2741.72,2739.5,7,2741.82,Buy,0.5099999999997635,0.32999999999992724,-5.07
10515,2742.23,2739.5,7,2742.33,Buy,0.47000000000025466,0.5099999999997635,-5.02
10516,2742.35,2739.5,8,2742.43,Buy,0.11999999999989086,0.47000000000025466,-5.22
10517,2742.85,2739.69,8,2742.95,Buy,0.49000000000023647,0.11999999999989086,-5.48
10518,2742.97,2739.69,9,2743.07,Buy,0.11999999999989086,0.49000000000023647,-5.23
